2013-22-10 22:00:00;127'150;127'255;127'150;127'170
2013-23-10 22:00:00;127'175;127'245;127'120;127'125
2013-24-10 22:00:00;127'130;127'215;127'110;127'175
2013-27-10 22:00:00;127'180;127'210;127'120;127'160
2013-28-10 22:00:00;127'165;127'240;127'140;127'220
2013-29-10 22:00:00;127'220;128'020;127'095;127'130
2013-30-10 22:00:00;127'150;127'245;127'025;127'070
2013-31-10 22:00:00;127'075;127'090;126'220;126'240
2013-03-11 23:00:00;126'220;127'020;126'215;126'300
2013-04-11 23:00:00;126'300;127'015;126'125;126'165
2013-05-11 23:00:00;126'175;127'010;126'160;126'290
2013-06-11 23:00:00;126'290;127'135;126'275;127'060
2013-07-11 23:00:00;127'060;127'225;125'305;126'035
2013-10-11 23:00:00;126'025;126'085;126'000;126'005
2013-11-11 23:00:00;126'005;126'030;125'230;125'270
2013-12-11 23:00:00;125'285;126'245;125'275;126'210
2013-13-11 23:00:00;126'215;126'310;126'135;126'290
2013-14-11 23:00:00;126'285;126'310;126'185;126'255
2013-17-11 23:00:00;126'225;127'050;126'210;127'030
2013-18-11 23:00:00;127'030;127'055;126'225;126'245
2013-19-11 23:00:00;126'235;127'025;126'070;126'095
2013-20-11 23:00:00;126'090;126'150;125'290;126'125
2013-21-11 23:00:00;126'125;126'205;126'090;126'205
2013-24-11 23:00:00;126'195;126'260;126'135;126'240
2013-25-11 23:00:00;126'245;127'020;126'215;126'305
2013-26-11 23:00:00;126'300;126'310;126'130;126'220
2013-27-11 23:00:00;125'135;125'145;125'065;125'140
2013-28-11 23:00:00;125'140;125'140;125'060;125'080
2013-01-12 23:00:00;125'075;125'105;124'235;124'295
2013-02-12 23:00:00;124'295;125'070;124'255;125'015
2013-03-12 23:00:00;125'020;125'035;124'140;124'190
2013-04-12 23:00:00;124'205;124'230;124'070;124'085
2013-05-12 23:00:00;124'085;124'185;123'240;124'115
2013-08-12 23:00:00;124'095;124'190;124'065;124'145
2013-09-12 23:00:00;124'145;124'300;124'125;124'260
2013-10-12 23:00:00;124'240;124'265;124'120;124'140
2013-11-12 23:00:00;124'130;124'175;124'035;124'065
2013-12-12 23:00:00;124'075;124'130;124'040;124'085
2013-15-12 23:00:00;124'100;124'160;124'045;124'065
2013-16-12 23:00:00;124'065;124'195;124'055;124'185
2013-17-12 23:00:00;124'175;124'240;123'250;124'035
2013-18-12 23:00:00;124'045;124'080;123'135;123'210
2013-19-12 23:00:00;123'220;123'280;123'085;123'240
2013-22-12 23:00:00;123'230;123'240;123'130;123'135
2013-23-12 23:00:00;123'140;123'175;123'000;123'015
2013-25-12 23:00:00;123'020;123'030;122'290;122'310
2013-26-12 23:00:00;123'005;123'070;122'265;123'005
2013-29-12 23:00:00;123'000;123'090;122'270;123'075
2013-30-12 23:00:00;123'075;123'090;122'245;122'280
2014-01-01 23:00:00;122'255;123'090;122'250;123'055
2014-02-01 23:00:00;123'050;123'125;123'015;123'040
2014-05-01 23:00:00;123'030;123'190;122'300;123'155
2014-06-01 23:00:00;123'155;123'220;123'130;123'200
2014-07-01 23:00:00;123'195;123'195;123'000;123'030
2014-08-01 23:00:00;123'040;123'115;123'005;123'095
2014-09-01 23:00:00;123'100;124'115;123'085;124'100
2014-12-01 23:00:00;124'085;124'205;124'075;124'180
2014-13-01 23:00:00;124'180;124'185;124'035;124'045
2014-14-01 23:00:00;124'040;124'085;123'240;123'290
2014-15-01 23:00:00;123'295;124'120;123'275;124'095
2014-16-01 23:00:00;124'095;124'160;124'050;124'155
2014-19-01 23:00:00;124'145;124'185;124'120;124'160
2014-20-01 23:00:00;124'150;124'155;124'000;124'100
2014-21-01 23:00:00;124'100;124'120;123'285;123'285
2014-22-01 23:00:00;123'290;124'290;123'270;124'230
2014-23-01 23:00:00;124'230;125'160;124'215;125'075
2014-26-01 23:00:00;125'065;125'095;124'260;125'000
2014-27-01 23:00:00;124'315;125'040;124'210;125'010
2014-28-01 23:00:00;124'270;125'235;124'230;125'195
2014-29-01 23:00:00;125'180;125'205;125'060;125'140
2014-30-01 23:00:00;125'140;125'290;125'110;125'285
2014-02-02 23:00:00;125'250;126'160;125'195;126'135
2014-03-02 23:00:00;126'130;126'150;126'020;126'030
