,Date,open,high,low,close
324,2014-06-25,146.36,146.92,146.21,146.77
325,2014-06-26,146.79,147.18,146.73,147.07
326,2014-06-27,147.19,147.19,146.81,146.88
327,2014-06-30,146.91,147.13,146.77,147.08
328,2014-07-01,146.97,147.19,146.85,146.99
329,2014-07-02,147.01,147.25,146.55,146.58
330,2014-07-03,146.61,146.62,145.85,146.53
331,2014-07-04,146.53,147.01,146.52,146.87
332,2014-07-07,146.8,146.98,146.71,146.9
333,2014-07-08,146.88,147.47,146.81,147.42
334,2014-07-09,147.4,147.54,147.23,147.48
335,2014-07-10,147.54,148.06,147.47,147.6
336,2014-07-11,147.63,147.72,147.39,147.53
337,2014-07-14,147.5,147.66,147.46,147.56
338,2014-07-15,147.62,147.9,147.43,147.57
339,2014-07-16,147.63,147.86,147.6,147.86
340,2014-07-17,147.95,148.48,147.87,148.42
341,2014-07-18,148.34,148.49,148.12,148.25
342,2014-07-21,148.3,148.45,148.2,148.25
343,2014-07-22,148.29,148.33,147.91,148.18
344,2014-07-23,148.14,148.44,148.01,148.28
345,2014-07-24,148.31,148.39,147.78,147.9
346,2014-07-25,147.95,148.4,147.81,148.36
347,2014-07-28,148.34,148.46,148.06,148.3
348,2014-07-29,148.24,148.78,148.18,148.72
349,2014-07-30,148.65,148.71,147.75,147.94
350,2014-07-31,147.95,148.27,147.65,148.12
351,2014-08-01,147.99,148.62,147.74,148.49
352,2014-08-04,148.41,148.57,148.33,148.36
353,2014-08-05,148.4,148.48,147.84,148.29
354,2014-08-06,148.21,148.99,148.19,148.91
355,2014-08-07,148.9,149.49,148.86,149.48
356,2014-08-08,149.68,149.84,149.16,149.19
357,2014-08-11,149.22,149.51,149.16,149.38
358,2014-08-12,149.31,149.54,149.25,149.3
359,2014-08-13,149.23,149.87,149.07,149.83
360,2014-08-14,149.88,150.16,149.79,149.88
361,2014-08-15,149.88,150.7,149.86,150.3
362,2014-08-18,150.2,150.27,149.81,149.81
363,2014-08-19,149.84,150.25,149.82,150.1
364,2014-08-20,150.07,150.37,149.94,150.19
365,2014-08-21,150.12,150.4,149.95,150.25
366,2014-08-22,150.27,150.62,150.1,150.45
367,2014-08-25,150.41,151.09,150.4,150.89
368,2014-08-26,150.91,151.03,150.76,150.97
369,2014-08-27,151.0,151.47,150.94,151.31
370,2014-08-28,151.4,151.83,151.24,151.71
371,2014-08-29,151.66,151.71,151.26,151.5
372,2014-09-01,151.53,151.63,151.42,151.58
373,2014-09-02,151.52,151.53,150.86,151.01
374,2014-09-03,151.02,151.09,150.54,150.95
375,2014-09-04,150.95,151.49,150.49,150.68
376,2014-09-05,148.68,149.33,148.65,149.07
377,2014-09-08,149.13,149.43,148.63,148.71
378,2014-09-09,148.61,148.69,148.16,148.38
379,2014-09-10,148.34,148.45,148.02,148.29
380,2014-09-11,148.35,148.72,148.28,148.31
381,2014-09-12,148.3,148.33,147.77,147.84
382,2014-09-15,147.91,148.38,147.81,148.23
383,2014-09-16,148.33,148.62,148.1,148.11
384,2014-09-17,148.16,148.6,148.04,148.09
385,2014-09-18,147.99,148.47,147.72,148.04
386,2014-09-19,147.79,148.71,147.63,148.67
387,2014-09-22,148.77,148.97,148.57,148.95
388,2014-09-23,148.89,149.25,148.82,149.01
389,2014-09-24,148.93,149.17,148.78,148.88
390,2014-09-25,148.91,149.48,148.9,149.48
391,2014-09-26,149.51,149.72,149.26,149.42
392,2014-09-29,149.46,149.68,149.21,149.53
393,2014-09-30,149.47,149.8,149.3,149.72
394,2014-10-01,149.72,150.42,149.65,150.41
395,2014-10-02,150.34,150.35,149.85,149.96
396,2014-10-03,149.98,150.07,149.45,149.94
397,2014-10-06,149.94,150.23,149.93,150.1
398,2014-10-07,150.16,150.35,149.83,150.33
399,2014-10-08,150.19,150.43,149.95,150.32
400,2014-10-09,150.32,150.78,150.14,150.17
401,2014-10-10,150.3,150.57,150.02,150.55
402,2014-10-13,150.75,150.76,150.22,150.44
403,2014-10-14,150.38,151.19,150.24,151.1
404,2014-10-15,150.92,152.49,150.92,151.57
405,2014-10-16,151.66,152.47,150.87,151.09
406,2014-10-17,151.21,151.26,150.49,150.67
407,2014-10-20,150.68,151.12,150.64,150.84
408,2014-10-21,151.01,151.12,150.26,150.43
409,2014-10-22,150.59,150.83,150.29,150.73
410,2014-10-23,150.79,150.93,150.08,150.23
411,2014-10-24,150.4,150.74,150.27,150.28
412,2014-10-27,150.29,150.72,150.07,150.52
413,2014-10-28,150.55,150.71,150.23,150.46
414,2014-10-29,150.56,150.66,150.06,150.28
415,2014-10-30,150.26,151.1,150.23,150.89
416,2014-10-31,150.76,151.15,150.55,151.06
417,2014-11-03,151.17,151.35,150.68,150.96
418,2014-11-04,150.97,151.45,150.83,151.25
419,2014-11-05,151.2,151.31,151.07,151.2
420,2014-11-06,151.26,151.35,150.77,151.12
421,2014-11-07,151.11,151.4,150.78,151.39
422,2014-11-10,151.36,151.59,151.08,151.1
423,2014-11-11,151.11,151.35,150.97,151.27
424,2014-11-12,151.34,151.71,151.31,151.33
425,2014-11-13,151.33,151.8,151.29,151.69
426,2014-11-14,151.67,151.93,151.62,151.9
427,2014-11-17,152.03,152.08,151.51,151.62
428,2014-11-18,151.68,151.85,151.55,151.59
429,2014-11-19,151.65,151.75,150.94,151.1
430,2014-11-20,151.16,151.77,151.09,151.61
431,2014-11-21,151.59,152.05,151.54,152.01
432,2014-11-24,151.98,152.06,151.8,152.01
433,2014-11-25,152.0,152.43,151.95,152.4
434,2014-11-26,152.42,152.57,152.25,152.54
435,2014-11-27,152.49,152.97,152.48,152.9
436,2014-11-28,152.9,153.0,152.75,152.97
437,2014-12-01,152.97,153.01,152.16,152.21
438,2014-12-02,152.19,152.54,152.15,152.22
439,2014-12-03,152.24,152.45,152.1,152.37
440,2014-12-04,152.35,152.57,151.89,152.27
441,2014-12-05,153.02,153.17,152.5,152.81
442,2014-12-08,152.72,153.7,152.59,153.6
443,2014-12-09,153.57,153.98,153.45,153.85
444,2014-12-10,153.84,154.23,153.82,154.18
445,2014-12-11,154.13,154.33,153.96,154.17
446,2014-12-12,154.3,154.8,154.23,154.74
447,2014-12-15,154.71,154.73,154.35,154.57
448,2014-12-16,154.62,155.44,154.53,155.23
449,2014-12-17,155.02,155.45,154.92,154.94
450,2014-12-18,155.04,155.39,154.59,154.86
451,2014-12-19,154.87,155.21,154.58,155.15
452,2014-12-22,155.23,155.23,154.9,155.15
453,2014-12-23,155.13,155.31,154.92,154.94
454,2014-12-29,155.12,155.88,155.06,155.72
455,2014-12-30,155.71,155.96,155.56,155.78
456,2015-01-02,155.86,156.57,155.74,156.48
457,2015-01-05,156.52,156.58,156.2,156.34
458,2015-01-06,156.4,157.2,156.29,156.98
459,2015-01-07,156.85,157.26,156.51,156.69
460,2015-01-08,156.6,156.75,156.27,156.3
461,2015-01-09,156.37,156.77,156.1,156.42
462,2015-01-12,156.52,156.9,156.3,156.81
463,2015-01-13,156.71,157.04,156.56,156.76
464,2015-01-14,156.96,157.41,156.84,157.2
465,2015-01-15,157.02,157.7,157.0,157.67
466,2015-01-16,157.66,157.97,157.37,157.43
467,2015-01-19,157.59,157.88,157.4,157.69
468,2015-01-20,157.63,157.85,157.53,157.65
469,2015-01-21,157.71,157.76,156.61,156.69
470,2015-01-22,156.61,158.08,156.0,157.63
471,2015-01-23,157.82,158.94,157.69,158.88
472,2015-01-26,158.87,159.05,158.13,158.25
