,Instrument,Ticker,Date,% change,open,high,low,close
168,Gold,GC,2013-07-17,0.588512241054616,1274.4,1287.9,1273.3,1281.9
169,Gold,GC,2013-07-18,1.0293200249531935,1282.4,1297.1,1281.4,1295.6
170,Gold,GC,2013-07-21,2.9625057861441064,1296.2,1339.1,1295.4,1334.6
171,Gold,GC,2013-07-22,0.9593045042344386,1334.3,1348.7,1325.6,1347.1
172,Gold,GC,2013-07-23,-1.9888682745825577,1347.5,1348.7,1312.7,1320.7
173,Gold,GC,2013-07-24,0.93097184377838,1321.2,1337.5,1308.4,1333.5
174,Gold,GC,2013-07-25,0.03000075001875757,1333.3,1340.5,1311.9,1333.7
175,Gold,GC,2013-07-28,-0.04521136312258989,1327.1,1338.1,1322.6,1326.5
176,Gold,GC,2013-07-29,-0.17316669176328503,1328.2,1330.4,1317.0,1325.9
177,Gold,GC,2013-07-30,-0.3091073582629775,1326.4,1339.7,1305.3,1322.3
178,Gold,GC,2013-07-31,-1.163669336557362,1323.4,1330.7,1306.6,1308.0
179,Gold,GC,2013-08-01,0.39764471973694526,1307.7,1318.0,1282.4,1312.9
180,Gold,GC,2013-08-04,-0.6934918457552328,1312.2,1320.3,1296.7,1303.1
181,Gold,GC,2013-08-05,-1.6726770505639479,1303.3,1306.4,1278.1,1281.5
182,Gold,GC,2013-08-06,0.4058694973462451,1281.2,1289.0,1271.8,1286.4
183,Gold,GC,2013-08-07,2.0297068201259805,1285.9,1313.8,1282.0,1312.0
184,Gold,GC,2013-08-08,0.16013420771693632,1311.4,1316.5,1304.1,1313.5
185,Gold,GC,2013-08-11,1.6901408450704167,1313.5,1343.7,1313.5,1335.7
186,Gold,GC,2013-08-12,-1.182634730538922,1336.0,1341.0,1317.8,1320.2
187,Gold,GC,2013-08-13,1.1739756116034243,1320.3,1335.8,1315.1,1335.8
188,Gold,GC,2013-08-14,2.230872885162455,1335.8,1369.6,1317.9,1365.6
189,Gold,GC,2013-08-15,0.6883421206795646,1365.6,1379.2,1357.0,1375.0
190,Gold,GC,2013-08-18,-0.893181323070209,1377.1,1384.1,1362.0,1364.8
191,Gold,GC,2013-08-19,0.42493955601142375,1364.9,1378.0,1351.6,1370.7
192,Gold,GC,2013-08-20,-0.3355215171407764,1371.0,1378.9,1359.2,1366.4
193,Gold,GC,2013-08-21,0.7249560632689054,1365.6,1381.4,1354.5,1375.5
