,Instrument,Ticker,Date,% change,open,high,low,close
2242,Nasdaq 100,NQ,2021-08-24,0.03254731566013902,15362.25,15397.0,15333.0,15367.25
2243,Nasdaq 100,NQ,2021-08-25,-0.520587613268475,15367.25,15368.25,15255.25,15287.25
2244,Nasdaq 100,NQ,2021-08-26,0.9305900824283668,15286.0,15443.75,15265.5,15428.25
2245,Nasdaq 100,NQ,2021-08-29,1.1258524890249646,15432.75,15617.75,15420.0,15606.5
2246,Nasdaq 100,NQ,2021-08-30,-0.038447983082889436,15605.5,15677.25,15517.75,15599.5
2247,Nasdaq 100,NQ,2021-08-31,0.0673098496746718,15599.5,15699.0,15578.5,15610.0
2248,Nasdaq 100,NQ,2021-09-01,-0.059256886611152026,15610.0,15682.0,15551.75,15600.75
2249,Nasdaq 100,NQ,2021-09-02,0.34613165822703706,15601.0,15677.5,15552.25,15655.0
2250,Nasdaq 100,NQ,2021-09-05,0.2890265712825766,15656.0,15708.75,15642.5,15701.25
2251,Nasdaq 100,NQ,2021-09-06,-0.19105846388994507,15702.0,15702.25,15606.75,15672.0
2252,Nasdaq 100,NQ,2021-09-07,-0.3908493395443884,15671.0,15691.0,15523.75,15609.75
2253,Nasdaq 100,NQ,2021-09-08,-0.30429212043561904,15610.0,15675.75,15545.75,15562.5
2254,Nasdaq 100,NQ,2021-09-09,-0.7277809909388822,15561.0,15668.0,15433.5,15447.75
2255,Nasdaq 100,NQ,2021-09-12,0.014569707958301592,15443.0,15557.5,15342.75,15445.25
2256,Nasdaq 100,NQ,2021-09-13,-0.36098161098161086,15444.0,15524.25,15344.5,15388.25
2257,Nasdaq 100,NQ,2021-09-14,0.7683560753736174,15390.0,15514.5,15307.75,15508.25
2258,Nasdaq 100,NQ,2021-09-15,-0.07575879688583598,15509.75,15532.5,15358.75,15498.0
2259,Nasdaq 100,NQ,2021-09-16,-1.3872981561839595,15497.75,15528.25,15276.25,15282.75
2260,Nasdaq 100,NQ,2021-09-19,-1.9170374247579218,15284.0,15338.25,14807.5,14991.0
2261,Nasdaq 100,NQ,2021-09-20,0.0050026680896451126,14992.0,15163.25,14963.25,14992.75
2262,Nasdaq 100,NQ,2021-09-21,1.2372646779276693,14992.75,15227.0,14930.5,15178.25
2263,Nasdaq 100,NQ,2021-09-22,0.7757811341887191,15178.25,15347.0,15175.25,15296.0
2264,Nasdaq 100,NQ,2021-09-23,0.1225470172056049,15300.25,15334.25,15176.75,15319.0
2265,Nasdaq 100,NQ,2021-09-26,-0.9628565833278913,15319.0,15399.25,15084.0,15171.5
2266,Nasdaq 100,NQ,2021-09-27,-2.6644037634497124,15172.25,15192.25,14740.75,14768.0
2267,Nasdaq 100,NQ,2021-09-28,-0.04570306549079817,14769.25,14926.0,14711.0,14762.5
2268,Nasdaq 100,NQ,2021-09-29,-0.5247211361058959,14769.75,14883.5,14670.25,14692.25
2269,Nasdaq 100,NQ,2021-09-30,0.5101260011222735,14702.25,14818.0,14537.0,14777.25
2270,Nasdaq 100,NQ,2021-10-03,-2.0020290835306014,14785.0,14835.0,14367.75,14489.0
2271,Nasdaq 100,NQ,2021-10-04,1.1573954290642519,14493.75,14754.75,14410.5,14661.5
2272,Nasdaq 100,NQ,2021-10-05,0.7059064247715128,14662.0,14770.0,14422.5,14765.5
2273,Nasdaq 100,NQ,2021-10-06,0.834574756229685,14768.0,15001.25,14767.0,14891.25
2274,Nasdaq 100,NQ,2021-10-07,-0.5758415176697724,14891.25,14996.0,14790.75,14805.5
2275,Nasdaq 100,NQ,2021-10-10,-0.845698080721121,14810.25,14897.25,14677.0,14685.0
2276,Nasdaq 100,NQ,2021-10-11,-0.6212342989413457,14688.5,14783.25,14585.5,14597.25
2277,Nasdaq 100,NQ,2021-10-12,1.1905577634644402,14594.0,14795.75,14591.0,14767.75
2278,Nasdaq 100,NQ,2021-10-13,1.9955654101995606,14770.25,15071.5,14767.5,15065.0
2279,Nasdaq 100,NQ,2021-10-14,0.5343954858518032,15063.75,15145.0,15020.75,15144.25
2280,Nasdaq 100,NQ,2021-10-17,0.88587548252994,15154.5,15297.25,15038.75,15288.75
2281,Nasdaq 100,NQ,2021-10-18,0.7913798459752428,15289.75,15428.25,15269.0,15410.75
2282,Nasdaq 100,NQ,2021-10-19,-0.34553241191356676,15411.0,15446.5,15319.0,15357.75
2283,Nasdaq 100,NQ,2021-10-20,0.15464756633566878,15357.5,15483.75,15301.0,15381.25
2284,Nasdaq 100,NQ,2021-10-21,-0.3835402717285348,15383.0,15463.5,15273.75,15324.0
2285,Nasdaq 100,NQ,2021-10-24,1.4323702628187363,15324.25,15546.0,15295.75,15543.75
2286,Nasdaq 100,NQ,2021-10-25,-0.13028372900984664,15543.0,15701.0,15503.0,15522.75
2287,Nasdaq 100,NQ,2021-10-26,0.39112169840171873,15532.25,15717.5,15507.25,15593.0
2288,Nasdaq 100,NQ,2021-10-27,0.480923372875921,15595.0,15777.0,15591.75,15670.0
2289,Nasdaq 100,NQ,2021-10-28,1.1750825108818646,15679.75,15864.75,15595.5,15864.0
2290,Nasdaq 100,NQ,2021-10-31,0.015737870036673485,15885.25,15914.75,15768.5,15887.75
2291,Nasdaq 100,NQ,2021-11-01,0.42948838965452296,15891.0,15980.25,15849.5,15959.25
2292,Nasdaq 100,NQ,2021-11-02,1.0825460982908055,15957.75,16145.75,15935.25,16130.5
2293,Nasdaq 100,NQ,2021-11-03,1.2942124678384346,16129.5,16376.0,16129.5,16338.25
2294,Nasdaq 100,NQ,2021-11-04,0.05968778696050947,16335.0,16448.5,16292.0,16344.75
2295,Nasdaq 100,NQ,2021-11-07,0.18259375191800586,16293.0,16394.0,16256.0,16322.75
2296,Nasdaq 100,NQ,2021-11-08,-0.724770923355095,16315.5,16391.75,16160.0,16197.25
2297,Nasdaq 100,NQ,2021-11-09,-1.327058097369033,16201.25,16243.0,15896.5,15986.25
2298,Nasdaq 100,NQ,2021-11-10,0.29551566702107834,15989.0,16114.0,15976.0,16036.25
2299,Nasdaq 100,NQ,2021-11-11,0.9738994935722616,16043.75,16213.25,16001.75,16200.0
2300,Nasdaq 100,NQ,2021-11-14,-0.09869080479266756,16212.25,16276.5,16082.25,16196.25
2301,Nasdaq 100,NQ,2021-11-15,0.5911041145785134,16198.5,16323.75,16142.0,16294.25
